Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
60355,3.62,4.608,,4.608,0.988,5.17,1.55,0.988,3.62
75092,3.07,4.158,3.993,4.0755,1.0055,5.17,2.1,1.088,0.923
79016,3.26,4.067,4.203,4.135,0.875,5.17,1.91,0.807,0.943
78875,3.91,4.495,4.222,4.3585,0.4485,5.17,1.26,0.585,0.312
107302,5.28,4.382,4.845,4.6135,0.6665,5.17,0.11,0.898,0.435
106467,3.71,4.326,4.624,4.475,0.765,5.17,1.46,0.616,0.914
75014,4.16,4.262,3.51,3.886,0.274,5.17,1.01,0.102,0.65
87627,2.88,4.551,4.428,4.4895,1.6095,5.17,2.29,1.671,1.548
62442,2.6,4.736,4.424,4.58,1.98,5.17,2.57,2.136,1.824
90040,4.24,4.218,4.326,4.272,0.032,5.17,0.93,0.022,0.086
101804,4.45,5.44,4.889,5.1645,0.7145,5.17,0.72,0.99,0.439
101906,5.58,4.686,4.573,4.6295,0.9505,5.17,0.41,0.894,1.007
67721,3.96,4.48,4.362,4.421,0.461,5.17,1.21,0.52,0.402
75525,4.04,4.736,,4.736,0.696,5.17,1.13,0.696,4.04
106898,3.85,4.944,4.717,4.8305,0.9805,5.17,1.32,1.094,0.867
569619,4.91,5.695,5.891,5.793,0.883,5.17,0.26,0.785,0.981
3688537,4.77,5.13,5.055,5.0925,0.3225,5.17,0.4,0.36,0.285
50282,7.03,5.624,6.389,6.0065,1.0235,5.17,1.86,1.406,0.641
67730103,5.41,4.898,4.912,4.905,0.505,5.17,0.24,0.512,0.498
67730114,5.98,5.069,5.416,5.2425,0.7375,5.17,0.81,0.911,0.564
75558,6.15,5.205,5.036,5.1205,1.0295,5.17,0.98,0.945,1.114
1912249,4.69,5.481,5.406,5.4435,0.7535,5.17,0.48,0.791,0.716
92671,6.55,4.805,4.2,4.5025,2.0475,5.17,1.38,1.745,2.35
77094112,5.5,5.646,5.715,5.6805,0.1805,5.17,0.33,0.146,0.215
118967,4.29,5.198,4.942,5.07,0.78,5.17,0.88,0.908,0.652
139913,6.1,5.767,5.868,5.8175,0.2825,5.17,0.93,0.333,0.232
446866,5.7,5.505,5.76,5.6325,0.0675,5.17,0.53,0.195,0.06
92875,8.11,5.597,4.772,5.1845,2.9255,5.17,2.94,2.513,3.338
50066,5.03,5.888,4.799,5.3435,0.3135,5.17,0.14,0.858,0.231
924163,6.27,6.068,5.774,5.921,0.349,5.17,1.1,0.202,0.496
1937377,6.76,5.977,6.975,6.476,0.284,5.17,1.59,0.783,0.215
100754,6.03,6.122,5.387,5.7545,0.2755,5.17,0.86,0.092,0.643
930552,5.37,5.935,5.427,5.681,0.311,5.17,0.2,0.565,0.057
759739,6.44,6.151,6.529,6.34,0.1,5.17,1.27,0.289,0.089
59892,5.89,5.881,5.451,5.666,0.224,5.17,0.72,0.009,0.439
194592,7.79,6.553,6.555,6.554,1.236,5.17,2.62,1.237,1.235
218019,5.66,6.516,6.287,6.4015,0.7415,5.17,0.49,0.856,0.627
303344,6.51,6.664,5.811,6.2375,0.2725,5.17,1.34,0.154,0.699
60391926,5.17,6.206,6.162,6.184,1.014,5.17,0,1.036,0.992
18883664,7.46,6.658,5.901,6.2795,1.1805,5.17,2.29,0.802,1.559
2602462,6.84,6.252,7.608,6.93,0.09,5.17,1.67,0.588,0.768
1596845,3.46,6.475,6.009,6.242,2.782,5.17,1.71,3.015,2.549
