Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
106376,4.66,4.893,4.86,4.8765,0.2165,4.02,0.64,0.233,0.2
98953,4.67,4.631,3.93,4.2805,0.3895,4.02,0.65,0.039,0.74
175013180,4.71,3.917,4.349,4.133,0.577,4.02,0.69,0.793,0.361
75252,4.74,4.448,,4.448,0.292,4.02,0.72,0.292,4.74
67663,4.75,4.32,,4.32,0.43,4.02,0.73,0.43,4.75
57249,4.8,3.293,3.934,3.6135,1.1865,4.02,0.78,1.507,0.866
79005,4.81,4.147,3.466,3.8065,1.0035,4.02,0.79,0.663,1.344
135410207,4.89,3.37,3.772,3.571,1.319,4.02,0.87,1.52,1.118
124481,4.91,4.498,,4.498,0.412,4.02,0.89,0.412,4.91
74839,4.93,3.383,3.258,3.3205,1.6095,4.02,0.91,1.547,1.672
13674878,4.96,4.592,4.649,4.6205,0.3395,4.02,0.94,0.368,0.311
75274,4.98,4.594,,4.594,0.386,4.02,0.96,0.386,4.98
121142,5.06,4.198,4.628,4.413,0.647,4.02,1.04,0.862,0.432
42576023,5.07,4.83,4.458,4.644,0.426,4.02,1.05,0.24,0.612
608935,5.09,5.31,4.957,5.1335,0.0435,4.02,1.07,0.22,0.133
118741,5.1,5.446,5.378,5.412,0.312,4.02,1.08,0.346,0.278
121824,5.12,3.898,3.89,3.894,1.226,4.02,1.1,1.222,1.23
79061,5.12,3.971,2.95,3.4605,1.6595,4.02,1.1,1.149,2.17
615543,5.19,4.864,5.277,5.0705,0.1195,4.02,1.17,0.326,0.087
100016,5.22,4.751,3.853,4.302,0.918,4.02,1.2,0.469,1.367
67721,5.24,4.891,4.986,4.9385,0.3015,4.02,1.22,0.349,0.254
99354,5.27,4.834,4.828,4.831,0.439,4.02,1.25,0.436,0.442
88733,5.37,4.596,4.497,4.5465,0.8235,4.02,1.35,0.774,0.873
96184,5.37,4.131,4.403,4.267,1.103,4.02,1.35,1.239,0.967
87865,5.38,4.936,4.711,4.8235,0.5565,4.02,1.36,0.444,0.669
99650,5.41,5.14,5.215,5.1775,0.2325,4.02,1.39,0.27,0.195
528290,5.41,5.128,5.165,5.1465,0.2635,4.02,1.39,0.282,0.245
100254,5.41,5.24,5.061,5.1505,0.2595,4.02,1.39,0.17,0.349
80079,5.47,4.116,4.919,4.5175,0.9525,4.02,1.45,1.354,0.551
84720,5.49,3.239,4.17,3.7045,1.7855,4.02,1.47,2.251,1.32
131807573,5.51,4.34,3.602,3.971,1.539,4.02,1.49,1.17,1.908
115297,5.6,5.429,5.14,5.2845,0.3155,4.02,1.58,0.171,0.46
100005,5.67,4.763,4.517,4.64,1.03,4.02,1.65,0.907,1.153
140578,5.79,4.015,4.53,4.2725,1.5175,4.02,1.77,1.775,1.26
309002,5.83,5.147,5.392,5.2695,0.5605,4.02,1.81,0.683,0.438
96457,5.87,4.145,3.692,3.9185,1.9515,4.02,1.85,1.725,2.178
105511964,5.88,4.442,4.613,4.5275,1.3525,4.02,1.86,1.438,1.267
32536520,5.92,5.344,5.611,5.4775,0.4425,4.02,1.9,0.576,0.309
5436431,6.01,5.256,5.445,5.3505,0.6595,4.02,1.99,0.754,0.565
60348609,6.03,5.53,5.788,5.659,0.371,4.02,2.01,0.5,0.242
96128,6.05,4.411,4.8,4.6055,1.4445,4.02,2.03,1.639,1.25
87683,6.11,4.7,5.036,4.868,1.242,4.02,2.09,1.41,1.074
12789036,6.13,5.257,5.679,5.468,0.662,4.02,2.11,0.873,0.451
2385855,6.15,5.318,5.392,5.355,0.795,4.02,2.13,0.832,0.758
150505,6.18,4.718,5.284,5.001,1.179,4.02,2.16,1.462,0.896
78488,6.2,4.781,4.915,4.848,1.352,4.02,2.18,1.419,1.285
95943,6.28,4.862,4.834,4.848,1.432,4.02,2.26,1.418,1.446
120832,6.3,4.377,4.39,4.3835,1.9165,4.02,2.28,1.923,1.91
