Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
53703,5.52,4.746,5.361,5.0535,0.4665,4.48,1.04,0.774,0.159
309002,6.25,5.618,5.588,5.603,0.647,4.48,1.77,0.632,0.662
11097691,5.27,5.125,5.437,5.281,0.011,4.48,0.79,0.145,0.167
101144,5.06,4.855,4.666,4.7605,0.2995,4.48,0.58,0.205,0.394
39635319,5.63,5.211,5.629,5.42,0.21,4.48,1.15,0.419,0.001
684935,6.54,5.561,5.598,5.5795,0.9605,4.48,2.06,0.979,0.942
1336363,4.55,5.855,5.621,5.738,1.188,4.48,0.07,1.305,1.071
31508006,5.55,5.637,5.561,5.599,0.049,4.48,1.07,0.087,0.011
32598133,6.04,5.919,5.684,5.8015,0.2385,4.48,1.56,0.121,0.356
621647,5.42,5.473,5.219,5.346,0.074,4.48,0.94,0.053,0.201
57465288,9.09,5.929,5.559,5.744,3.346,4.48,4.61,3.161,3.531
91941,4.93,5.691,4.864,5.2775,0.3475,4.48,0.45,0.761,0.066
92875,7.09,5.561,4.695,5.128,1.962,4.48,2.61,1.529,2.395
75070,1.99,3.156,3.591,3.3735,1.3835,4.48,2.49,1.166,1.601
67663,3.43,3.027,,3.027,0.403,4.48,1.05,0.403,3.43
118741,5.11,3.262,4.591,3.9265,1.1835,4.48,0.63,1.848,0.519
124481,3.74,3.163,,3.163,0.577,4.48,0.74,0.577,3.74
79016,2.73,3.143,3.153,3.148,0.418,4.48,1.75,0.413,0.423
51796,4.41,3.092,4.549,3.8205,0.5895,4.48,0.07,1.318,0.139
75218,3.59,3.344,3.847,3.5955,0.0055,4.48,0.89,0.246,0.257
75014,2.44,3.281,3.433,3.357,0.917,4.48,2.04,0.841,0.993
79061,3.85,3.43,3.805,3.6175,0.2325,4.48,0.63,0.42,0.045
96128,6.15,3.685,4.269,3.977,2.173,4.48,1.67,2.465,1.881
192654,5.52,4.831,5.126,4.9785,0.5415,4.48,1.04,0.689,0.394
106990,3.21,3.829,3.965,3.897,0.687,4.48,1.27,0.619,0.755
513371,3.07,3.447,3.636,3.5415,0.4715,4.48,1.41,0.377,0.566
50328,5.44,4.319,4.541,4.43,1.01,4.48,0.96,1.121,0.899
133062,2.3,4.448,5.479,4.9635,2.6635,4.48,2.18,2.148,3.179
2425061,4.17,4.574,5.793,5.1835,1.0135,4.48,0.31,0.404,1.623
60568050,3.33,4.926,5.429,5.1775,1.8475,4.48,1.15,1.596,2.099
101779,4.96,4.801,5.374,5.0875,0.1275,4.48,0.48,0.159,0.414
207089,4.44,4.95,4.564,4.757,0.317,4.48,0.04,0.51,0.124
57976,7.26,4.775,4.786,4.7805,2.4795,4.48,2.78,2.485,2.474
55185,6.64,5.4,5.249,5.3245,1.3155,4.48,2.16,1.24,1.391
930552,4.79,5.385,5.09,5.2375,0.4475,4.48,0.31,0.595,0.3
11096825,5.31,5.632,5.693,5.6625,0.3525,4.48,0.83,0.322,0.383
65510443,5.55,5.637,5.857,5.747,0.197,4.48,1.07,0.087,0.307
76448,5.68,5.775,5.827,5.801,0.121,4.48,1.2,0.095,0.147
1596845,2.91,5.39,4.723,5.0565,2.1465,4.48,1.57,2.48,1.813
12789036,4.61,5.889,5.909,5.899,1.289,4.48,0.13,1.279,1.299
2602462,6.29,5.856,6.001,5.9285,0.3615,4.48,1.81,0.434,0.289
759739,5.95,6.014,5.584,5.799,0.151,4.48,1.47,0.064,0.366
126998,4.42,3.148,3.182,3.165,1.255,4.48,0.06,1.272,1.238
106467,3.21,3.239,3.389,3.314,0.104,4.48,1.27,0.029,0.179
56235,2.96,3.019,,3.019,0.059,4.48,1.52,0.059,2.96
106898,2.04,3.941,3.866,3.9035,1.8635,4.48,2.44,1.901,1.826
75569,2.33,3.354,3.938,3.646,1.316,4.48,2.15,1.024,1.608
50000,2.59,3.122,3.84,3.481,0.891,4.48,1.89,0.532,1.25
79345,3.98,3.406,2.957,3.1815,0.7985,4.48,0.5,0.574,1.023
630206,3.09,3.242,3.023,3.1325,0.0425,4.48,1.39,0.152,0.067
66273,3.49,3.532,4.157,3.8445,0.3545,4.48,0.99,0.042,0.667
492808,4.82,4.517,4.921,4.719,0.101,4.48,0.34,0.303,0.101
99592,3.37,3.981,4.007,3.994,0.624,4.48,1.11,0.611,0.637
121142,4.21,4.207,4.051,4.129,0.081,4.48,0.27,0.003,0.159
53963,5.46,4.949,4.476,4.7125,0.7475,4.48,0.98,0.511,0.984
54749905,7.33,4.894,4.455,4.6745,2.6555,4.48,2.85,2.436,2.875
