Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
107062,7.15,6.622,6.785,6.7035,0.4465,6.72,0.43,0.528,0.365
75150,5.04,6.458,7.102,6.78,1.74,6.72,1.68,1.418,2.062
79005,8.82,6.883,7.158,7.0205,1.7995,6.72,2.1,1.937,1.662
593602,7.55,6.527,6.254,6.3905,1.1595,6.72,0.83,1.023,1.296
98011,6.28,7.204,6.714,6.959,0.679,6.72,0.44,0.924,0.434
62533,7.97,7.398,5.928,6.663,1.307,6.72,1.25,0.572,2.042
77736,7.28,6.934,6.588,6.761,0.519,6.72,0.56,0.346,0.692
126998,6.64,7.457,6.243,6.85,0.21,6.72,0.08,0.817,0.397
107028,9.45,7.235,7.171,7.203,2.247,6.72,2.73,2.215,2.279
79107,7.86,7.118,7.235,7.1765,0.6835,6.72,1.14,0.742,0.625
106990,7.43,7.044,6.078,6.561,0.869,6.72,0.71,0.386,1.352
85449,6.87,7.657,9.088,8.3725,1.5025,6.72,0.15,0.787,2.218
111900,8.65,6.402,6.615,6.5085,2.1415,6.72,1.93,2.248,2.035
100005,8.42,7.99,8.94,8.465,0.045,6.72,1.7,0.43,0.52
