Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
76131,2.83,4.167,4.959,4.563,1.733,4.80,1.973921971,1.337,2.129
765344,4.82,3.538,3.153,3.3455,1.4745,4.80,0.016078029,1.282,1.667
7786347,6.95,5.961,5.707,5.834,1.116,4.80,2.146078029,0.989,1.243
79277273,5.49,4.653,4.486,4.5695,0.9205,4.80,0.686078029,0.837,1.004
81777891,3.45,4.789,4.861,4.825,1.375,4.80,1.353921971,1.339,1.411
834128,4.42,5.056,4.825,4.9405,0.5205,4.80,0.383921971,0.636,0.405
83794,6.02,5.068,5.222,5.145,0.875,4.80,1.216078029,0.952,0.798
84720,3.05,3.218,3.697,3.4575,0.4075,4.80,1.753921971,0.168,0.647
85007,6.19,4.754,4.741,4.7475,1.4425,4.80,1.386078029,1.436,1.449
85687,3.29,3.699,4.022,3.8605,0.5705,4.80,1.513921971,0.409,0.732
886500,6.38,5.095,5.228,5.1615,1.2185,4.80,1.576078029,1.285,1.152
88671890,5.06,4.932,4.74,4.836,0.224,4.80,0.256078029,0.128,0.32
94125345,4.9,4.8,4.933,4.8665,0.0335,4.80,0.096078029,0.1,0.033
94361065,5.46,5.026,4.896,4.961,0.499,4.80,0.656078029,0.434,0.564
94757,5.34,4.974,5.003,4.9885,0.3515,4.80,0.536078029,0.366,0.337
94826,4.49,4.733,4.605,4.669,0.179,4.80,0.313921971,0.243,0.115
950378,6.48,6.18,6.155,6.1675,0.3125,4.80,1.676078029,0.3,0.325
95498,3.8,3.565,3.533,3.549,0.251,4.80,1.003921971,0.235,0.267
96128,5.52,4.084,4.642,4.363,1.157,4.80,0.716078029,1.436,0.878
96182535,7.2,6.997,6.752,6.8745,0.3255,4.80,2.396078029,0.203,0.448
97632,4.18,3.643,3.168,3.4055,0.7745,4.80,0.623921971,0.537,1.012
97780068,2.96,4.624,4.525,4.5745,1.6145,4.80,1.843921971,1.664,1.565
98839,2.09,3.307,3.205,3.256,1.166,4.80,2.713921971,1.217,1.115
99607702,4.89,4.537,4.754,4.6455,0.2445,4.80,0.086078029,0.353,0.136
