Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
66330889,7.51,6.917,6.695,6.806,0.704,7.29,0.22,0.593,0.815
111911,7.76,6.507,7.023,6.765,0.995,7.29,0.47,1.253,0.737
74223646,6.18,6.755,6.545,6.65,0.47,7.29,1.11,0.575,0.365
122429,6.95,6.517,6.842,6.6795,0.2705,7.29,0.34,0.433,0.108
145701219,6.91,6.827,6.729,6.778,0.132,7.29,0.38,0.083,0.181
1918021,6.53,6.849,7.148,6.9985,0.4685,7.29,0.76,0.319,0.618
584792,7.58,6.855,7.159,7.007,0.573,7.29,0.29,0.725,0.421
3337711,6.66,6.887,6.875,6.881,0.221,7.29,0.63,0.227,0.215
98967409,5.51,6.724,6.934,6.829,1.319,7.29,1.78,1.214,1.424
108985,8.04,6.957,6.821,6.889,1.151,7.29,0.75,1.083,1.219
110543,6.16,6.918,6.422,6.67,0.51,7.29,1.13,0.758,0.262
111991094,5.52,6.84,6.578,6.709,1.189,7.29,1.77,1.32,1.058
80844071,7.01,6.915,7.069,6.992,0.018,7.29,0.28,0.095,0.059
123739,7.85,6.474,6.875,6.6745,1.1755,7.29,0.56,1.376,0.975
10605217,6.88,6.575,6.998,6.7865,0.0935,7.29,0.41,0.305,0.118
2008584,7.62,6.903,6.961,6.932,0.688,7.29,0.33,0.717,0.659
112410238,7.29,6.677,7.11,6.8935,0.3965,7.29,0,0.613,0.18
121552612,6.92,6.524,6.915,6.7195,0.2005,7.29,0.37,0.396,0.005
57960197,7.15,7.045,6.743,6.894,0.256,7.29,0.14,0.105,0.407
148798,6.3,6.889,7.018,6.9535,0.6535,7.29,0.99,0.589,0.718
75605,6.99,6.723,,6.723,0.267,7.29,0.3,0.267,6.99
106434,6.8,6.654,6.911,6.7825,0.0175,7.29,0.49,0.146,0.111
75694,5.66,6.517,,6.517,0.857,7.29,1.63,0.857,5.66
5902512,7.22,6.885,6.973,6.929,0.291,7.29,0.07,0.335,0.247
111988499,7.8,7.041,7.083,7.062,0.738,7.29,0.51,0.759,0.717
156052685,5.84,6.916,6.977,6.9465,1.1065,7.29,1.45,1.076,1.137
80057,6.66,6.935,6.98,6.9575,0.2975,7.29,0.63,0.275,0.32
79277273,7.47,6.839,6.679,6.759,0.711,7.29,0.18,0.631,0.791
142289,6.75,7.118,6.762,6.94,0.19,7.29,0.54,0.368,0.012
141517217,7.03,6.533,7.29,6.9115,0.1185,7.29,0.26,0.497,0.26
86737,6.62,6.948,6.828,6.888,0.268,7.29,0.67,0.328,0.208
288880,7.14,7.27,6.642,6.956,0.184,7.29,0.15,0.13,0.498
422556089,5.64,6.719,7.009,6.864,1.224,7.29,1.65,1.079,1.369
143390890,5.94,6.874,7.126,7,1.06,7.29,1.35,0.934,1.186
957517,6.9,6.924,6.929,6.9265,0.0265,7.29,0.39,0.024,0.029
108623,7.25,6.455,7.105,6.78,0.47,7.29,0.04,0.795,0.145
208465218,5.51,6.828,6.76,6.794,1.284,7.29,1.78,1.318,1.25
64902723,6.85,6.956,6.973,6.9645,0.1145,7.29,0.44,0.106,0.123
123312890,7.76,7.14,6.825,6.9825,0.7775,7.29,0.47,0.62,0.935
1596845,6.03,6.876,6.45,6.663,0.633,7.29,1.26,0.846,0.42
131807573,8.43,7.083,6.992,7.0375,1.3925,7.29,1.14,1.347,1.438
107186,7.06,6.622,7.038,6.83,0.23,7.29,0.23,0.438,0.022
82558507,6.82,6.822,6.911,6.8665,0.0465,7.29,0.47,0.002,0.091
62533,7.12,7.041,6.668,6.8545,0.2655,7.29,0.17,0.079,0.452
141112290,7.25,7.088,7.265,7.1765,0.0735,7.29,0.04,0.162,0.015
75343,5.69,7.154,,7.154,1.464,7.29,1.6,1.464,5.69
125116236,6.9,7.157,7.218,7.1875,0.2875,7.29,0.39,0.257,0.318
25606411,6.27,6.953,7.156,7.0545,0.7845,7.29,1.02,0.683,0.886
126833178,6.25,6.878,7.051,6.9645,0.7145,7.29,1.04,0.628,0.801
76039,6.91,6.853,6.755,6.804,0.106,7.29,0.38,0.057,0.155
95578,7.41,6.811,6.932,6.8715,0.5385,7.29,0.12,0.599,0.478
98566,7.78,6.896,7.258,7.077,0.703,7.29,0.49,0.884,0.522
82097505,7.6,6.897,6.74,6.8185,0.7815,7.29,0.31,0.703,0.86
108601,6.63,6.912,7.081,6.9965,0.3665,7.29,0.66,0.282,0.451
463569,8.47,6.818,6.929,6.8735,1.5965,7.29,1.18,1.652,1.541
95498,6.8,6.834,7.127,6.9805,0.1805,7.29,0.49,0.034,0.327
150114719,5.61,6.854,7.109,6.9815,1.3715,7.29,1.68,1.244,1.499
87546187,5.63,7.018,7.192,7.105,1.475,7.29,1.66,1.388,1.562
57966957,7.39,7.058,6.784,6.921,0.469,7.29,0.1,0.332,0.606
87820880,7.82,6.911,7.203,7.057,0.763,7.29,0.53,0.909,0.617
156592,7.68,7.144,7.021,7.0825,0.5975,7.29,0.39,0.536,0.659
51707552,6.75,6.888,6.975,6.9315,0.1815,7.29,0.54,0.138,0.225
1982496,6.19,6.926,6.918,6.922,0.732,7.29,1.1,0.736,0.728
25057890,6.9,6.74,6.872,6.806,0.094,7.29,0.39,0.16,0.028
134098616,7.62,7.053,7.238,7.1455,0.4745,7.29,0.33,0.567,0.382
50471448,7.06,6.931,6.98,6.9555,0.1045,7.29,0.23,0.129,0.08
100618,7.73,7.367,6.36,6.8635,0.8665,7.29,0.44,0.363,1.37
118525,4.82,6.584,7.083,6.8335,2.0135,7.29,2.47,1.764,2.263
32289580,6.21,7.013,6.908,6.9605,0.7505,7.29,1.08,0.803,0.698
15972608,7.43,6.999,6.909,6.954,0.476,7.29,0.14,0.431,0.521
122394,6.83,7.321,7.306,7.3135,0.4835,7.29,0.46,0.491,0.476
120832,7.73,7.011,7.069,7.04,0.69,7.29,0.44,0.719,0.661
1832548,6.14,7.577,6.875,7.226,1.086,7.29,1.15,1.437,0.735
51235042,6.88,7.087,6.884,6.9855,0.1055,7.29,0.41,0.207,0.004
1910425,7.76,6.941,6.726,6.8335,0.9265,7.29,0.47,0.819,1.034
1698608,6.09,7.07,7.099,7.0845,0.9945,7.29,1.2,0.98,1.009
162650773,6.76,7.205,7.053,7.129,0.369,7.29,0.53,0.445,0.293
67663,7.07,7.175,,7.175,0.105,7.29,0.22,0.105,7.07
505293,7.08,6.826,7.262,7.044,0.036,7.29,0.21,0.254,0.182
60344,7.66,7.32,6.902,7.111,0.549,7.29,0.37,0.34,0.758
128639021,7.14,7.173,7.147,7.16,0.02,7.29,0.15,0.033,0.007
1702176,6.1,6.838,7.253,7.0455,0.9455,7.29,1.19,0.738,1.153
131983727,6.27,7.271,7.215,7.243,0.973,7.29,1.02,1.001,0.945
153233911,6.89,7.164,7.326,7.245,0.355,7.29,0.4,0.274,0.436
129909906,7.02,7.054,7.172,7.113,0.093,7.29,0.27,0.034,0.152
75092,7.15,7.156,7.157,7.1565,0.0065,7.29,0.14,0.006,0.007
92524,6.49,7.3,6.644,6.972,0.482,7.29,0.8,0.81,0.154
122349,7.6,7.172,7.107,7.1395,0.4605,7.29,0.31,0.428,0.493
219714962,6.52,6.967,7.11,7.0385,0.5185,7.29,0.77,0.447,0.59
120127,5.77,7.019,7.047,7.033,1.263,7.29,1.52,1.249,1.277
2163680,7.29,7.18,6.87,7.025,0.265,7.29,0,0.11,0.42
33820530,7.31,7.308,7.132,7.22,0.09,7.29,0.02,0.002,0.178
188425856,6.2,6.922,6.993,6.9575,0.7575,7.29,1.09,0.722,0.793
181274179,6.06,7.033,6.958,6.9955,0.9355,7.29,1.23,0.973,0.898
83329,6.41,6.845,7.016,6.9305,0.5205,7.29,0.88,0.435,0.606
26002802,7.7,7.151,7.059,7.105,0.595,7.29,0.41,0.549,0.641
57837191,6.67,6.941,6.765,6.853,0.183,7.29,0.62,0.271,0.095
27314132,6.88,7.062,7.076,7.069,0.189,7.29,0.41,0.182,0.196
99129212,7.56,6.997,7.023,7.01,0.55,7.29,0.27,0.563,0.537
206440,6.7,7.392,6.997,7.1945,0.4945,7.29,0.59,0.692,0.297
77182822,8.69,7.044,7.532,7.288,1.402,7.29,1.4,1.646,1.158
878790591,6.19,7.397,7.105,7.251,1.061,7.29,1.1,1.207,0.915
510156,7.21,7.083,7.245,7.164,0.046,7.29,0.08,0.127,0.035
460195,7.78,7.273,6.116,6.6945,1.0855,7.29,0.49,0.507,1.664
161050584,6.56,6.91,7.213,7.0615,0.5015,7.29,0.73,0.35,0.653
59507,6.15,6.999,7.237,7.118,0.968,7.29,1.14,0.849,1.087
71556,4.82,6.954,,6.954,2.134,7.29,2.47,2.134,4.82
75014,7.32,6.994,7.035,7.0145,0.3055,7.29,0.03,0.326,0.285
68049832,8.05,7.098,7.207,7.1525,0.8975,7.29,0.76,0.952,0.843
75354,6.28,7.379,,7.379,1.099,7.29,1.01,1.099,6.28
